name,form,dose
HYDROMORPHONE HCL,Tablet,4 MG
HYDROMORPHONE HCL,Tablet,8 MG
HYDROMORPHONE HCL,Liquid,1 MG/ML
HYDROMORPHONE HCL,SUPP.RECT,3 MG
HYDROMORPHONE HCL,VIAL,2 MG/ML
HYDROMORPHONE HCL,VIAL,10 MG/ML
HYDROMORPHONE HCL,VIAL,1 MG/ML
HYDROMORPHONE HCL,VIAL,4 MG/ML
HYDROMORPHONE HCL,Syringe,0.5MG/.5ML
HYDROMORPHONE HCL,Syringe,1 MG/ML
HYDROMORPHONE HCL,Syringe,2 MG/ML
HYDROMORPHONE HCL,CARTRIDGE,2 MG/ML
HYDROMORPHONE HCL,CARTRIDGE,1 MG/ML
HYDROMORPHONE HCL,CARTRIDGE,4 MG/ML
HYDROMORPHONE HCL,AMPUL,2 MG/ML
HYDROMORPHONE HCL,AMPUL,10 MG/ML
HYDROMORPHONE HCL,AMPUL,1 MG/ML
HYDROMORPHONE HCL-NACL,PCA SYRING,10 MG/50ML
HYDROQUINONE,Cream (g),4 %
HYDROXOCOBALAMIN,VIAL,1000MCG/ML
HYDROXYCHLOROQUINE SULFATE,Tablet,200 MG
HYDROXYCHLOROQUINE SULFATE,Tablet,100 MG
HYDROXYCHLOROQUINE SULFATE,Tablet,400 MG
HYDROXYCHLOROQUINE SULFATE,Tablet,300 MG
HYDROXYPROGESTERONE CAPROATE,VIAL,250 MG/ML
HYDROXYUREA,Capsule,500 MG
HYDROXYZINE HCL,Tablet,25 MG
HYDROXYZINE HCL,Tablet,50 MG
HYDROXYZINE HCL,Tablet,10 MG
HYDROXYZINE HCL,Solution,10 MG/5 ML
HYDROXYZINE HCL,Solution,50 MG/25ML
HYDROXYZINE HCL,VIAL,25 MG/ML
HYDROXYZINE HCL,VIAL,50 MG/ML
HYDROXYZINE PAMOATE,Capsule,25 MG
HYDROXYZINE PAMOATE,Capsule,50 MG
HYDROXYZINE PAMOATE,Capsule,100 MG
HYFTOR,Gel,0.2 %
HYOPHEN,Tablet,81.6-0.12
HYOSCYAMINE SULFATE,Subligual Tab,0.125 MG
HYOSCYAMINE SULFATE,Tablet,0.125 MG
HYOSCYAMINE SULFATE,TAB RAPDIS,0.125 MG
HYOSCYAMINE SULFATE,Drops,0.125MG/ML
HYOSCYAMINE SULFATE,ELIXIR,125MCG/5ML
HYOSCYAMINE SULFATE,VIAL,0.5 MG/ML
HYOSCYAMINE SULFATE ER,Tablet ER 12H,0.375 MG
HYOSCYAMINE SULFATE SR,Tablet ER 12H,0.375 MG
HYOSYNE,ELIXIR,125MCG/5ML
HYOSYNE,Drops,0.125MG/ML
HYPER-SAL,VIAL-NEB,3.5 %
HYPER-SAL,VIAL-NEB,7 %
HYPERHEP B,Syringe,220 UNIT/1
HYPERHEP B,Syringe,110/0.5ML
HYPERHEP B,VIAL,220 UNIT/1
HYPERHEP B,VIAL,220/ML (5)
HYPERRAB,VIAL,300 UNIT/1
HYPERRAB S-D,VIAL,150 UNIT/1
HYPERRHO S-D,Syringe,1500 UNIT
HYPERRHO S-D,Syringe,250 UNIT
HYPERTET,Syringe,250 UNIT/1
HYQVIA,VIAL,5 G/50 ML
HYQVIA,VIAL,20 G/200ML
HYQVIA,VIAL,10 G/100ML
HYQVIA,VIAL,30 G/300ML
HYQVIA,VIAL,2.5G/25ML
HYSEPT,Solution,0.5 %
HYSEPT,Solution,0.25 %
HYSINGLA ER,Capsule ER 12H,10 MG
HYSINGLA ER,Capsule ER 12H,15 MG
HYSINGLA ER,Capsule ER 12H,30 MG
HYSINGLA ER,Capsule ER 12H,20 MG
HYSINGLA ER,Capsule ER 12H,40 MG
HYSINGLA ER,Capsule ER 12H,50 MG
HYSINGLA ER,Tablet ER 24H,20 MG
HYSINGLA ER,Tablet ER 24H,30 MG
HYSINGLA ER,Tablet ER 24H,40 MG
HYSINGLA ER,Tablet ER 24H,60 MG
HYSINGLA ER,Tablet ER 24H,80 MG
HYSINGLA ER,Tablet ER 24H,100 MG
HYSINGLA ER,Tablet ER 24H,120 MG
HYZAAR,Tablet,100MG-25MG
HYZAAR,Tablet,50-12.5 MG
HYZAAR,Tablet,100-12.5MG
I-PRIN,Tablet,200 MG
IBANDRONATE SODIUM,Tablet,150 MG
IBANDRONATE SODIUM,VIAL,3 MG/3 ML
IBANDRONATE SODIUM,Syringe,3 MG/3 ML
IBRANCE,Capsule,100 MG
IBRANCE,Capsule,125 MG
IBRANCE,Capsule,75 MG
IBRANCE,Tablet,100 MG
IBRANCE,Tablet,125 MG
IBRANCE,Tablet,75 MG
IBSRELA,Tablet,50 MG
IBU,Tablet,800 MG
IBU,Tablet,600 MG
IBU,Tablet,400 MG
IBU-200,Tablet,200 MG
IBUPAK,Kit,600 MG
IBUPROFEN,Tablet,800 MG
IBUPROFEN,Tablet,600 MG
IBUPROFEN,Tablet,400 MG
IBUPROFEN,Tablet,200 MG
IBUPROFEN,Oral Suspension,100 MG/5ML
IBUPROFEN,Chewable Tablet,100 MG
IBUPROFEN,Capsule,200 MG
IBUPROFEN COLD-SINUS,Tablet,200MG-30MG
IBUPROFEN IB,Chewable Tablet,100 MG
IBUPROFEN IB,Tablet,200 MG
IBUPROFEN LYSINE,VIAL,20 MG/2 ML
IBUPROFEN PM,Tablet,200MG-38MG
IBUPROFEN PM,Capsule,200MG-25MG
IBUPROFEN-FAMOTIDINE,Tablet,800-26.6MG
IBUTILIDE FUMARATE,VIAL,0.1 MG/ML
ICATIBANT,Syringe,30 MG/3 ML
ICLEVIA,TBDSPK 3MO,0.15-0.03
ICLUSIG,Tablet,15 MG
ICLUSIG,Tablet,45 MG
ICLUSIG,Tablet,30 MG
ICLUSIG,Tablet,10 MG
ICOSAPENT ETHYL,Capsule,1 G
ICOSAPENT ETHYL,Capsule,0.5 GRAM
ICY HOT,Patch,5 %
ICY HOT,Patch,4 %-1 %
ICY HOT,Patch,7.5 %
ICY HOT,Cream (g),30 %-10 %
ICY HOT,STICK (G),30 %-10 %
ICY HOT,Ointment,29 %-7.6 %
ICY HOT,Bandage,16 %
ICY HOT,Gel,16 %
ICY HOT,SPRAY,16 %
ICY HOT,FOAM (ML),16 %
IDAMYCIN PFS,VIAL,1 MG/ML
IDARUBICIN HCL,VIAL,1 MG/ML
IDHIFA,Tablet,100 MG
IDHIFA,Tablet,50 MG
IFEREX 150,Capsule,150 MG
IFEX,VIAL,3 G
IFEX,VIAL,1 G
IFEX,VIAL,1 G/20 ML
IFEX,VIAL,3 G/60 ML
IFOSFAMIDE,VIAL,3 G
IFOSFAMIDE,VIAL,1 G
IFOSFAMIDE,VIAL,1 G/20 ML
IFOSFAMIDE,VIAL,3 G/60 ML
IGALMI,FILM,120 MCG
IGALMI,FILM,180 MCG
ILARIS,VIAL,150 MG/ML
ILEVRO,Eye Dropper,0.3 %
ILUMYA,Syringe,100 MG/ML
ILUVIEN,IMPLANT,0.19 MG
IMATINIB MESYLATE,Tablet,400 MG
IMATINIB MESYLATE,Tablet,100 MG
IMBRUVICA,Tablet,420 MG
IMBRUVICA,Tablet,140 MG
IMBRUVICA,Tablet,280 MG
IMBRUVICA,Tablet,560 MG
IMBRUVICA,Capsule,140 MG
IMBRUVICA,Capsule,70 MG
IMBRUVICA,Oral Suspension,70 MG/ML
IMCIVREE,VIAL,10 MG/ML
IMDEVIMAB (REGN10987) (EUA),VIAL,1332/11.1
IMDEVIMAB (REGN10987) (EUA),VIAL,300 MG/2.5
IMFINZI,VIAL,120 MG/2.4
IMFINZI,VIAL,500MG/10ML
IMIPENEM-CILASTATIN SODIUM,VIAL,250 MG
IMIPENEM-CILASTATIN SODIUM,VIAL,500 MG
IMIPRAMINE HCL,Tablet,50 MG
IMIPRAMINE HCL,Tablet,25 MG
IMIPRAMINE HCL,Tablet,10 MG
IMIPRAMINE PAMOATE,Capsule,100 MG
IMIPRAMINE PAMOATE,Capsule,75 MG
IMIPRAMINE PAMOATE,Capsule,150 MG
IMIPRAMINE PAMOATE,Capsule,125 MG
IMIQUIMOD,CREAM PACK,5 %
IMIQUIMOD,CREAM PACK,3.75 %
IMIQUIMOD,CRM MD PMP,3.75 %
IMITREX,Tablet,100 MG
IMITREX,Tablet,50 MG
IMITREX,Tablet,25 MG
IMITREX,PEN INJCTR,6 MG/0.5ML
IMITREX,PEN INJCTR,4 MG/0.5ML
IMITREX,VIAL,6 MG/0.5ML
IMITREX,CARTRIDGE,6 MG/0.5ML
IMITREX,CARTRIDGE,4 MG/0.5ML
IMITREX,Syringe,6 MG/0.5ML
IMJUDO,VIAL,25 MG/1.25
IMJUDO,VIAL,300MG/15ML
IMLYGIC,VIAL,10EXP6/ML
IMLYGIC,VIAL,10EXP8/ML
IMODIUM A-D,Capsule,2 MG
IMODIUM A-D,Tablet,2 MG
IMODIUM A-D,Liquid,1MG/7.5ML
IMODIUM MULTI-SYMPTOM RELIEF,Tablet,2-125MG
IMOGAM RABIES-HT,VIAL,150 UNIT/1
IMOVAX RABIES VACCINE,VIAL,2.5 UNIT
IMPAVIDO,Capsule,50 MG
IMPEKLO,LOT MD PMP,0.05 %
IMPOYZ,Cream (g),0.025 %
IMURAN,Tablet,50 MG
IMURAN,Tablet,100 MG
IMURAN,Tablet,75 MG
IMVEXXY,INSERT,10 MCG
IMVEXXY,INSERT,4 MCG
IMVEXXY,INSR DS PK,4 MCG
IMVEXXY,INSR DS PK,10 MCG
INBRIJA,CAP W/DEV,42 MG
INCASSIA,Tablet,0.35 MG
INCRELEX,VIAL,10 MG/ML
INCRUSE ELLIPTA,BLST W/DEV,62.5 MCG
INDAPAMIDE,Tablet,2.5 MG
INDAPAMIDE,Tablet,1.25 MG
INDERAL LA,CAP SA 24H,60 MG
INDERAL LA,CAP SA 24H,80 MG
INDERAL LA,CAP SA 24H,120 MG
INDERAL LA,CAP SA 24H,160 MG
INDERAL XL,Capsule ER 24H,120 MG
INDERAL XL,Capsule ER 24H,80 MG
INDOCIN,SUPP.RECT,50 MG
INDOCIN,Oral Suspension,25 MG/5 ML
INDOMETHACIN,Capsule,50 MG
INDOMETHACIN,Capsule,25 MG
INDOMETHACIN,Capsule,20 MG
INDOMETHACIN,SUPP.RECT,100 MG
INDOMETHACIN,VIAL,1 MG
INDOMETHACIN ER,Capsule ER,75 MG
INFANRIX DTAP,VIAL,25-58-10
INFANRIX DTAP,Syringe,25-58-10
INFASURF,VIAL,35MG/ML
INFED,VIAL,100 MG/2ML
INFLAMMA-K,KIT PAT-DP,1.5-10-6 %
INFLECTRA,VIAL,100 MG
INFLIXIMAB,VIAL,100 MG
INFUGEM,PIGGYBACK,1200MG/120
INFUGEM,PIGGYBACK,1300MG/130
INFUGEM,PIGGYBACK,1400MG/140
INFUGEM,PIGGYBACK,1500MG/150
INFUGEM,PIGGYBACK,1600MG/160
INFUGEM,PIGGYBACK,1700MG/170
INFUGEM,PIGGYBACK,1800MG/180
INFUGEM,PIGGYBACK,1900MG/190
INFUGEM,PIGGYBACK,2000MG/200
INFUGEM,PIGGYBACK,2200MG/220
INFUMORPH,AMPUL,10 MG/ML
INFUMORPH,AMPUL,25 MG/ML
INGREZZA,Capsule,40 MG
INGREZZA,Capsule,80 MG
INGREZZA,Capsule,60 MG
INGREZZA INITIATION PACK,CAP DS PK,40 MG-80MG
INJECTAFER,VIAL,100 MG/2ML
INJECTAFER,VIAL,750MG/15ML
INLYTA,Tablet,5 MG
INLYTA,Tablet,1 MG
INNOPRAN XL,Capsule ER 24H,80 MG
INNOPRAN XL,Capsule ER 24H,120 MG
INOVA,COMBO. PKG,8%-5%
INOVA,COMBO. PKG,4 %-5 %
INQOVI,Tablet,35-100 MG
INREBIC,Capsule,100 MG
INSPRA,Tablet,25 MG
INSPRA,Tablet,50 MG
INSTA-CHAR,Oral Suspension,50G/240ML
INSTA-CHAR,Oral Suspension,25 G/120ML
INSTA-GLUCOSE,Gel,24 G/31 G
INSULIN ASPART,VIAL,100/ML
INSULIN ASPART FLEXPEN,INSULN PEN,100/ML (3)
INSULIN ASPART PENFILL,CARTRIDGE,100/ML
INSULIN ASPART PROT MIX 70-30,INSULN PEN,70-30/ML
INSULIN ASPART PROT MIX 70-30,VIAL,70-30/ML
INSULIN DEGLUDEC,VIAL,100/ML
INSULIN DEGLUDEC PEN (U-100),INSULN PEN,100/ML (3)
INSULIN DEGLUDEC PEN (U-200),INSULN PEN,200/ML (3)
INSULIN GLARGINE,VIAL,100/ML
INSULIN GLARGINE SOLOSTAR,INSULN PEN,100/ML (3)
INSULIN GLARGINE-YFGN,INSULN PEN,100/ML (3)
INSULIN GLARGINE-YFGN,VIAL,100/ML
INSULIN LISPRO,VIAL,100/ML
INSULIN LISPRO JUNIOR KWIKPEN,INS PEN HF,100/ML
INSULIN LISPRO KWIKPEN U-100,INSULN PEN,100/ML
INSULIN LISPRO PROTAMINE MIX,INSULN PEN,75-25/ML
INTELENCE,Tablet,200 MG
INTELENCE,Tablet,100 MG
INTELENCE,Tablet,25 MG
INTENSE TOOTHACHE PAIN RELIEF,Gel,20 %
INTRALIPID,EMULSION,20 %
INTRALIPID,EMULSION,30 %
INTRAROSA,INSERT,6.5 MG
INTUNIV,Tablet ER 24H,1 MG
INTUNIV,Tablet ER 24H,2 MG
INTUNIV,Tablet ER 24H,3 MG
INTUNIV,Tablet ER 24H,4 MG
INVANZ,VIAL,1 G
INVEGA,TAB ER 24,6 MG
INVEGA,TAB ER 24,3 MG
INVEGA,TAB ER 24,9 MG
INVEGA,TAB ER 24,1.5 MG
INVEGA HAFYERA,Syringe,1092MG/3.5
INVEGA HAFYERA,Syringe,1560MG/5ML
INVEGA SUSTENNA,Syringe,156 MG/ML
INVEGA SUSTENNA,Syringe,234MG/1.5
INVEGA SUSTENNA,Syringe,117MG/0.75
INVEGA SUSTENNA,Syringe,78MG/0.5ML
INVEGA SUSTENNA,Syringe,39MG/0.25
INVEGA TRINZA,Syringe,819MG/2.63
INVEGA TRINZA,Syringe,410MG/1.32
INVEGA TRINZA,Syringe,546MG/1.75
INVEGA TRINZA,Syringe,273MG/0.88
INVELTYS,Eye Dropper,1 %
INVIRASE,Tablet,500 MG
INVOKAMET,Tablet,150-1000MG
INVOKAMET,Tablet,50-1000 MG
INVOKAMET,Tablet,150-500 MG
INVOKAMET,Tablet,50MG-500MG
INVOKAMET XR,TAB BP 24H,150-1000MG
INVOKAMET XR,TAB BP 24H,150-500 MG
INVOKAMET XR,TAB BP 24H,50-1000 MG
INVOKAMET XR,TAB BP 24H,50MG-500MG
INVOKANA,Tablet,100 MG
INVOKANA,Tablet,300 MG
INZO ANTIFUNGAL,Cream (g),2 %
IODIXANOL,INFUS. BTL,320 MG/ML
IODIXANOL,INFUS. BTL,270 MG/ML
IONIL T,Shampoo,1 %
IOPIDINE,DROPERETTE,1 %
IPOL,VIAL,40-8-32
IPRATROPIUM BROMIDE,0.06% spray,42 MCG
IPRATROPIUM BROMIDE,Solution,0.2 MG/ML
IPRATROPIUM BROMIDE,0.03% spray,21 MCG
IPRATROPIUM-ALBUTEROL,AMPUL-NEB,0.5-3MG/3
IRBESARTAN,Tablet,150 MG
IRBESARTAN,Tablet,300 MG
IRBESARTAN,Tablet,75 MG
IRBESARTAN-HYDROCHLOROTHIAZIDE,Tablet,150-12.5MG
IRBESARTAN-HYDROCHLOROTHIAZIDE,Tablet,300-12.5MG
IRESSA,Tablet,250 MG
IRINOTECAN HCL,VIAL,100 MG/5ML
IRINOTECAN HCL,VIAL,40 MG/2 ML
IRINOTECAN HCL,VIAL,500MG/25ML
IRINOTECAN HCL,VIAL,300MG/15ML
IRON,Tablet,240(27)MG
IRON,Tablet,325(65) MG
IRON,Tablet,236(27)MG
IRON,Tablet,18 MG
IRON,Tablet,159(45)MG
IRON,Tablet,256(28)MG
ISENTRESS,Tablet,400 MG
ISENTRESS,Chewable Tablet,100 MG
ISENTRESS,Chewable Tablet,25 MG
ISENTRESS,POWD PACK,100 MG
ISENTRESS HD,Tablet,600 MG
ISIBLOOM,Tablet,0.15-0.03
ISONIAZID,Tablet,300 MG
ISONIAZID,Tablet,100 MG
ISONIAZID,Solution,50 MG/5 ML
ISONIAZID,VIAL,100 MG/ML
ISOPROTERENOL HCL,AMPUL,0.2 MG/ML
ISOPROTERENOL HCL,VIAL,0.2 MG/ML
ISOPTO ATROPINE,Drops,1 %
ISOPTO ATROPINE,DRPS EMULS,0.01 %
ISOPTO ATROPINE,Ointment,1 %
ISOPTO ATROPINE,Syringe,0.05 MG/ML
ISOPTO ATROPINE,Syringe,0.1 MG/ML
ISOPTO ATROPINE,Syringe,1 MG/2.5ML
ISOPTO ATROPINE,Syringe,0.8 MG/2ML
ISOPTO ATROPINE,Syringe,1.2 MG/3ML
ISOPTO ATROPINE,VIAL,0.4 MG/ML
ISOPTO ATROPINE,VIAL,1 MG/ML
ISOPTO CARPINE,Tablet,5 MG
ISOPTO CARPINE,Tablet,7.5 MG
ISOPTO CARPINE,Drops,2 %
ISOPTO CARPINE,Drops,1 %
ISOPTO CARPINE,Drops,4 %
ISOPTO TEARS,Drops,0.5 %
ISORDIL,Tablet,10 MG
ISORDIL,Tablet,20 MG
ISORDIL,Tablet,5 MG
ISORDIL,Tablet,30 MG
ISORDIL,Tablet,40 MG
ISORDIL TITRADOSE,Tablet,10 MG
ISORDIL TITRADOSE,Tablet,20 MG
ISORDIL TITRADOSE,Tablet,5 MG
ISORDIL TITRADOSE,Tablet,30 MG
ISORDIL TITRADOSE,Tablet,40 MG
ISOSORBIDE DINIT-HYDRALAZINE,Tablet,20-37.5MG
ISOSORBIDE DINITRATE,Tablet,10 MG
ISOSORBIDE DINITRATE,Tablet,20 MG
ISOSORBIDE DINITRATE,Tablet,5 MG
ISOSORBIDE DINITRATE,Tablet,30 MG
ISOSORBIDE DINITRATE,Tablet,40 MG
ISOSORBIDE MONONITRATE,Tablet,10 MG
ISOSORBIDE MONONITRATE,Tablet,20 MG
ISOSORBIDE MONONITRATE ER,Tablet ER 24H,30 MG
ISOSORBIDE MONONITRATE ER,Tablet ER 24H,60 MG
ISOSORBIDE MONONITRATE ER,Tablet ER 24H,120 MG
ISOTRETINOIN,Capsule,40 MG
ISOTRETINOIN,Capsule,30 MG
ISOTRETINOIN,Capsule,20 MG
ISOTRETINOIN,Capsule,10 MG
ISOTRETINOIN,Capsule,25 MG
ISOTRETINOIN,Capsule,35 MG
ISOXSUPRINE HCL,Tablet,10 MG
ISOXSUPRINE HCL,Tablet,20 MG
ISRADIPINE,Capsule,5 MG
ISRADIPINE,Capsule,2.5 MG
ISTALOL,Drops,0.5 %
ISTALOL,Drops,0.25 %
ISTALOL,SOL-GEL,0.5 %
ISTALOL,SOL-GEL,0.25 %
ISTALOL,DROP DAILY,0.5 %
ISTALOL,DROPERETTE,0.5 %
ISTALOL,DROPERETTE,0.25 %
ISTALOL,Tablet,10 MG
ISTALOL,Tablet,5 MG
ISTALOL,Tablet,20 MG
ISTODAX,VIAL,10 MG/2 ML
ISTODAX,VIAL,27.5/5.5ML
ISTURISA,Tablet,1 MG
ISTURISA,Tablet,5 MG
ISTURISA,Tablet,10 MG
ISUPREL,AMPUL,0.2 MG/ML
ISUPREL,VIAL,0.2 MG/ML
ITRACONAZOLE,Capsule,100 MG
ITRACONAZOLE,Solution,10 MG/ML
IVERMECTIN,Tablet,3 MG
IVERMECTIN,Cream (g),1 %
IVERMECTIN,Lotion,0.5 %
IXEMPRA,VIAL,15 MG
IXEMPRA,VIAL,45 MG
IXIARO,Syringe,6MCG/0.5ML
IXINITY,VIAL,500 UNIT
IXINITY,VIAL,1000 UNIT
IXINITY,VIAL,1500 UNIT
IXINITY,VIAL,250 UNIT
IXINITY,VIAL,2000 UNIT
IXINITY,VIAL,3000 UNIT
JADENU,Tablet,90 MG
JADENU,Tablet,360 MG
JADENU,Tablet,180 MG
JADENU,TAB DISPER,500 MG
JADENU,TAB DISPER,125 MG
JADENU,TAB DISPER,250 MG
JADENU,GRAN PACK,90 MG
JADENU,GRAN PACK,180 MG
JADENU,GRAN PACK,360 MG
JADENU SPRINKLE,Tablet,90 MG
JADENU SPRINKLE,Tablet,360 MG
JADENU SPRINKLE,Tablet,180 MG
JADENU SPRINKLE,TAB DISPER,500 MG
JADENU SPRINKLE,TAB DISPER,125 MG
JADENU SPRINKLE,TAB DISPER,250 MG
JADENU SPRINKLE,GRAN PACK,90 MG
JADENU SPRINKLE,GRAN PACK,180 MG
JADENU SPRINKLE,GRAN PACK,360 MG
JAIMIESS,TBDSPK 3MO,150-30(84)
JAKAFI,Tablet,5 MG
JAKAFI,Tablet,10 MG
JAKAFI,Tablet,15 MG
JAKAFI,Tablet,20 MG
JAKAFI,Tablet,25 MG
JALYN,CPMP 24HR,0.5-0.4 MG
JANTOVEN,Tablet,5 MG
JANTOVEN,Tablet,2 MG
JANTOVEN,Tablet,2.5 MG
JANTOVEN,Tablet,3 MG
JANTOVEN,Tablet,1 MG
JANTOVEN,Tablet,4 MG
JANTOVEN,Tablet,7.5 MG
JANTOVEN,Tablet,6 MG
JANTOVEN,Tablet,10 MG
JANUMET,Tablet,50-1000 MG
JANUMET,Tablet,50MG-500MG
JANUMET XR,TBMP 24HR,50-1000 MG
JANUMET XR,TBMP 24HR,100-1000MG
JANUMET XR,TBMP 24HR,50MG-500MG
JANUVIA,Tablet,100 MG
JANUVIA,Tablet,50 MG
JANUVIA,Tablet,25 MG
JARDIANCE,Tablet,10 MG
JARDIANCE,Tablet,25 MG
JASMIEL,Tablet,0.02-3(28)
JATENZO,Capsule,158 MG
JATENZO,Capsule,237 MG
JATENZO,Capsule,198 MG
JAVYGTOR,TABLET SOL,100 MG
JAVYGTOR,POWD PACK,100 MG
JAVYGTOR,POWD PACK,500 MG
JELMYTO,Kit,40 MG X 2
JEMPERLI,VIAL,500MG/10ML
JENCYCLA,Tablet,0.35 MG
JENTADUETO,Tablet,2.5-1000MG
JENTADUETO,Tablet,2.5-500 MG
JENTADUETO,Tablet,2.5-850 MG
JENTADUETO XR,TAB BP 24H,5MG-1000MG
JENTADUETO XR,TAB BP 24H,2.5-1000MG
JEVTANA,VIAL,FDN10MG/ML
JINTELI,Tablet,1MG-5MCG
JOLESSA,TBDSPK 3MO,0.15-0.03
JORNAY PM,CPDR ER SP,60 MG
JORNAY PM,CPDR ER SP,100 MG
JORNAY PM,CPDR ER SP,20 MG
JORNAY PM,CPDR ER SP,40 MG
JORNAY PM,CPDR ER SP,80 MG
JUBLIA,SOL W/APPL,10 %
JULEBER,Tablet,0.15-0.03
JULUCA,Tablet,50 MG-25MG
JUNEL,Tablet,1MG-20MCG
JUNEL,Tablet,1.5-0.03MG
JUNEL FE,Tablet,1MG-20(21)
JUNEL FE,Tablet,1.5-30(21)
JUNEL FE 24,Tablet,1MG-20(24)
JUXTAPID,Capsule,5 MG
JUXTAPID,Capsule,10 MG
JUXTAPID,Capsule,20 MG
JUXTAPID,Capsule,40 MG
JUXTAPID,Capsule,60 MG
JUXTAPID,Capsule,30 MG
JYNARQUE,TABLET SEQ,90 MG-30MG
JYNARQUE,TABLET SEQ,45 MG-15MG
JYNARQUE,TABLET SEQ,60 MG-30MG
JYNARQUE,TABLET SEQ,30 MG-15MG
JYNARQUE,TABLET SEQ,15 MG-15MG
JYNARQUE,Tablet,15 MG
JYNARQUE,Tablet,30 MG
K-PEC,Oral Suspension,262MG/15ML
K-PHOS NEUTRAL,Tablet,250 MG
K-PHOS ORIGINAL,TABLET SOL,500 MG
K-TAB ER,Tablet,20 MEQ
K-TAB ER,Tablet,10 MEQ
K-TAB ER,Tablet,8 MEQ
K-TAB ER,TAB ER PRT,20 MEQ
K-TAB ER,TAB ER PRT,10 MEQ
K-TAB ER,TAB ER PRT,15 MEQ
K-TAB ER,Capsule ER,10 MEQ
K-TAB ER,Capsule ER,8 MEQ
K-TAB ER,PACKET,20 MEQ
K-TAB ER,Liquid,20MEQ/15ML
K-TAB ER,Liquid,40MEQ/15ML
K-TAB ER,PIGGYBACK,30MEQ/0.1L
K-TAB ER,PIGGYBACK,10MEQ/0.1L
K-TAB ER,PIGGYBACK,20MEQ/0.1L
K-TAB ER,PIGGYBACK,40MEQ/0.1L
K-TAB ER,PIGGYBACK,10MEQ/50ML
K-TAB ER,PIGGYBACK,20MEQ/50ML
K-TAB ER,VIAL,2 MEQ/ML
K-TAB ER,AMPUL,2 MEQ/ML
K-TAB ER,IV SOLN,2 MEQ/ML
KADCYLA,VIAL,100 MG
KADCYLA,VIAL,160 MG
KAITLIB FE,Chewable Tablet,0.8-25(24)
KALBITOR,VIAL,10MG/ML(1)
KALETRA,Tablet,200MG-50MG
KALETRA,Tablet,100MG-25MG
KALETRA,Solution,400-100/5
KALLIGA,Tablet,0.15-0.03
KALYDECO,Tablet,150 MG
KALYDECO,GRAN PACK,50 MG
KALYDECO,GRAN PACK,75 MG
KALYDECO,GRAN PACK,25 MG
KANJINTI,VIAL,150 MG
KANJINTI,VIAL,420 MG
KANUMA,VIAL,20 MG/10ML
KAOPECTATE,Oral Suspension,262MG/15ML
KAOPECTATE,Oral Suspension,525MG/15ML
KAOPECTATE,Tablet,262 MG
KAOPECTATE,Capsule,240 MG
KAPSPARGO SPRINKLE,CAP SPR 24,25 MG
KAPSPARGO SPRINKLE,CAP SPR 24,50 MG
KAPSPARGO SPRINKLE,CAP SPR 24,100 MG
KAPSPARGO SPRINKLE,CAP SPR 24,200 MG
KAPVAY,Tablet ER 12H,0.1 MG
KAPVAY,Tablet ER 24H,0.17 MG
KARIVA,Tablet,21-5 (28)
KATERZIA,Oral Suspension,1 MG/ML
KAZANO,Tablet,12.5-1000
KAZANO,Tablet,12.5-500MG
KCENTRA,VIAL,500 UNIT
KCENTRA,VIAL,1000 UNIT
KEDRAB,VIAL,150 UNIT/1
KELNOR 1-35,Tablet,1 MG-35MCG
KELNOR 1-50,Tablet,1 MG-50MCG
KENALOG,Cream (g),0.1 %
KENALOG,Cream (g),0.025 %
KENALOG,Cream (g),0.5 %
KENALOG,Ointment,0.1 %
KENALOG,Ointment,0.5 %
KENALOG,Ointment,0.025 %
KENALOG,Ointment,0.05 %
KENALOG,SPRAY,55 MCG
KENALOG,PASTE (G),0.1 %
KENALOG,Lotion,0.1 %
KENALOG,Lotion,0.025 %
KENALOG,VIAL,40 MG/ML
KENALOG,AEROSOL,0.147MG/G
KENALOG-10,VIAL,10 MG/ML
KENALOG-40,Cream (g),0.1 %
KENALOG-40,Cream (g),0.025 %
KENALOG-40,Cream (g),0.5 %
KENALOG-40,Ointment,0.1 %
KENALOG-40,Ointment,0.5 %
KENALOG-40,Ointment,0.025 %
KENALOG-40,Ointment,0.05 %
KENALOG-40,SPRAY,55 MCG
KENALOG-40,PASTE (G),0.1 %
KENALOG-40,Lotion,0.1 %
KENALOG-40,Lotion,0.025 %
KENALOG-40,VIAL,40 MG/ML
KENALOG-40,AEROSOL,0.147MG/G
KENALOG-80,VIAL,80 MG/ML
KENGREAL,VIAL,50 MG
KEPIVANCE,VIAL,6.25 MG
KEPPRA,Tablet,500 MG
KEPPRA,Tablet,250 MG
KEPPRA,Tablet,750 MG
KEPPRA,Tablet,1000 MG
KEPPRA,Solution,100 MG/ML
KEPPRA,Solution,500 MG/5ML
KEPPRA,VIAL,500 MG/5ML
KEPPRA XR,Tablet ER 24H,500 MG
KEPPRA XR,Tablet ER 24H,750 MG
KERALAC,Cream (g),40 %
KERALAC,Cream (g),20 %
KERALAC,Cream (g),10 %
KERALAC,Cream (g),45 %
KERALAC,Cream (g),41 %
KERALAC,Cream (g),39 %
KERALAC,Cream (g),50 %
KERALAC,Cream (g),47 %
KERALAC,Lotion,40 %
KERALAC,Lotion,10 %
KERALAC,GEL (ML),45 %
KERALAC,SOL/PF APP,50 %
KERALAC,Foam,35 %
